"customer_id";"customer_name";"gst_number";"address";"city";"email";"phone";"pincode"
1;"John Doe";"ABC123456789";"123 Main St";"Paris";"johndoe@example.com";"555-555-5555";"12345"
2;"Jane Smith";"DEF987654321";"456 Oak St";"London";"janesmith@example.com";"999-99-7895";"98745"
3;"Bob Johnson";"GHF987654321";"789 Maple St";"Tokyo";"bobjohnson@example.com";"125-568-123";"54225"
4;"Richael Green";"LKO122658998";"963 Harry Street ";"Pasedana";"richaelgreen@gmail.com";"235-55-668";"69778"
5;"Walter White";"ASP456987723";"256 Louis Market";"Los Angeles";"walter@abc.com";"636-456-666";"52155"
6;"Ross Gller";"QWE54510252";"566 Boat House";"California";"rossgller@lkio.com";"156-565-66";"47990"
7;"Anuj Kumar";"LKT696857578";"65 Dolson Street";"Mexico";"anujkumar@gmail.com";"222-666-333";"66998"
8;"Angella Williams";"QWE56546566";"23 Mark Street";"Denver";"angella123@example.com";"256-66-777";"54545"
9;"Harvy Spector";"PLO154454445";"19 Avenue Park";"Sinsinaty";"harvy456@ross.com";"963-58-789";"22226"
10;"Donna Paulson";"AER456666666";"36 Uklet Lane";"Cuba";"donnapaulson@example.com";"254-789-66";"44400"
